movie_id,title,released
0,The Matrix,1999
9,The Matrix Reloaded,2003
10,The Matrix Revolutions,2003
11,The Devil's Advocate,1997
15,A Few Good Men,1992
29,Top Gun,1986
37,Jerry Maguire,2000
46,Stand By Me,1986
52,As Good as It Gets,1997
56,What Dreams May Come,1998
62,Snow Falling on Cedars,1999
67,You've Got Mail,1998
73,Sleepless in Seattle,1993
78,Joe Versus the Volcano,1990
81,When Harry Met Sally,1998
85,That Thing You Do,1996
87,The Replacements,2000
92,RescueDawn,2006
95,The Birdcage,1996
97,Unforgiven,1992
100,Johnny Mnemonic,1995
105,Cloud Atlas,2012
111,The Da Vinci Code,2006
116,V for Vendetta,2006
121,Speed Racer,2008
128,Ninja Assassin,2009
130,The Green Mile,1999
137,Frost/Nixon,2008
141,Hoffa,1992
144,Apollo 13,1995
147,Twister,1996
150,Cast Away,2000
152,One Flew Over the Cuckoo's Nest,1975
154,Something's Gotta Give,2003
157,Bicentennial Man,1999
159,Charlie Wilson's War,2007
161,The Polar Express,2004
162,A League of Their Own,1992
171,The Bridges of Madison County,1995